All event log messages.
Date:	2014-08-19 10:18:08
System Name:	2600-501273
Controller Name:	
Controller Id	2600-501273

RobotWare:	5.15.5001
Key:	ec2222Bz6xD9A22I22Y422h22Go23z
Options:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-2 German
		709-x DeviceNet
			709-2/709-5 Master/Slave Dual
			608-1 World Zones
			611-1 Path Recovery
			613-1 Collision Detection
			812-1 Production Manager
			633-1 Arc
				650-x Power source type
					External option loaded Welder
					652-1 BullsEye
					653-x Torch Service
						653-2 Binzel - TC97

DriveModule1
Key:	Mxth-XqT01hhjhRhK
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 2600
			2600ID-8/2.00
				No motor fan
				Drive System 09 2600/4400/6400R
					No additional drive

AW-MILLER-AA-007
	Key:	07PPWQPPPPO-.PFlVhgF5E-1b
Options:	

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
45034     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:38:18 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45035     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:38:19 	The system is in the Motors ON state.	{args: }
45036     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:38:20 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45037     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:38:20 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45038     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:38:21 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45039     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:38:23 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45040     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:38:24 	The system is in the Motors ON state.	{args: }
45042     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:38:25 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "1"}
45043     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:38:25 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45044     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:38:25 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45045     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:38:26 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45046     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:38:26 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45047     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:38:28 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45048     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:38:29 	The system is in the Motors ON state.	{args: }
45049     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:38:30 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45051     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:38:31 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "2"}
45052     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:38:31 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45054     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:38:49 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45055     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:38:50 	The system is in the Motors ON state.	{args: }
45056     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:38:52 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45057     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:38:53 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45058     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:38:53 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45061     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:38:57 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45062     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:39:07 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45063     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:39:08 	The system is in the Motors ON state.	{args: }
45064     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:39:09 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45065     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:39:09 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45066     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:39:10 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45067     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:39:10 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45068     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:39:11 	The system is in the Motors ON state.	{args: }
45070     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:39:14 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45071     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:39:14 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "2"}
45072     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:39:14 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45074     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:39:20 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45075     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:39:21 	The system is in the Motors ON state.	{args: }
45076     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:39:22 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45077     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:39:22 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45078     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:39:22 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45081     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:39:27 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45082     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:39:38 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45083     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:39:39 	The system is in the Motors ON state.	{args: }
45084     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:39:40 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45085     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:39:40 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45086     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:39:42 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45087     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:39:42 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45088     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:39:42 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45089     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:39:43 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45090     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:39:44 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45091     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:39:44 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45092     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:39:45 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45093     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:39:46 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45094     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:40:19 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45095     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:40:20 	The system is in the Motors ON state.	{args: }
45096     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:40:22 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45097     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:40:22 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45098     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:40:22 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45099     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:40:23 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45100     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:40:24 	The system is in the Motors ON state.	{args: }
45102     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:40:27 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "1"}
